name,Entry_point_address,Size_of_program_headers,Size_of_section_headers,Start_of_program_headers,Start_of_section_headers,size_text_section,total_size_file,total_size_memory,n_seg_diff_size_in_file_and_memory,n_p_type_header_as_int_type,total_p_flags,total_STT_NOTYPE_symbol,total_STT_FUNC_symbol,total_STT_OBJECT_symbol,n_sec_not_in_memory,total_global_symbols,total_local_symbols,total_weak_symbols,category
printf,13472,56,64,64,57904,29874,53733,54165,1,0,59,4,0,0,0,58,1,6,0
pr,12896,56,64,64,78480,42610,77981,78685,1,0,59,4,0,0,0,78,1,6,0
ppdhtml,17520,56,64,64,111136,61765,106603,106619,1,0,59,4,0,0,0,59,1,4,0
png-fix-itxt,5296,56,64,64,12728,1365,6561,6593,1,0,59,4,0,0,0,7,1,4,0
printenv,10160,56,64,64,37424,14290,32917,33357,1,0,59,4,0,0,0,48,1,8,0
prlimit,13616,56,64,64,37848,13074,35625,35797,1,0,59,4,0,0,0,67,1,5,0
prtstat,5648,56,64,64,20840,4613,15481,15577,1,0,59,3,0,0,0,29,1,4,0
ppdpo,17888,56,64,64,111136,62213,106758,106774,1,0,59,4,0,0,0,57,1,4,0
pmap,19808,56,64,64,33144,12978,29397,31285,1,0,59,3,0,0,0,62,1,6,0
pngfix,16656,56,64,64,57800,19957,51081,51137,1,0,59,4,0,0,0,54,1,4,0
prezip-bin,6336,56,64,64,12720,2181,8321,8385,1,0,59,4,0,0,0,15,1,4,0
preconv,15440,56,64,64,66056,32501,62722,66538,1,0,59,4,0,0,0,72,1,4,0
ppdmerge,11440,56,64,64,16832,2693,14545,14849,1,0,59,4,0,0,0,40,1,4,0
pnm2ppa,1024096,56,64,64,1650536,44661,1646465,1650201,1,0,59,3,0,0,0,46,1,4,0
ps,46608,56,64,64,139864,47522,152373,288325,1,0,59,3,0,0,0,99,1,5,0
ppdc,19632,56,64,64,115232,63701,111038,111054,1,0,59,4,0,0,0,70,1,4,0
ppdi,17184,56,64,64,115232,65445,111032,111048,1,0,59,4,0,0,0,63,1,4,0
ptx,20976,56,64,64,135792,98578,137973,140341,1,0,59,4,0,0,0,85,1,6,0
psfxtable,7184,56,64,64,20824,7877,18017,18105,1,0,59,3,0,0,0,32,1,4,0
pstree,15072,56,64,64,34088,11749,30177,30369,1,0,59,3,0,0,0,68,1,5,0
pwdx,5696,56,64,64,12648,1778,10349,10413,1,0,59,3,0,0,0,31,1,6,0
pslog,5520,56,64,64,12632,1333,8609,8673,1,0,59,3,0,0,0,21,1,4,0
pulseaudio,36752,56,64,64,98848,35685,96521,96825,1,0,59,4,0,0,0,248,1,5,0
pwd,10480,56,64,64,41520,16402,36893,37301,1,0,59,4,0,0,0,59,1,6,0
psicc,10528,56,64,64,24928,4501,17397,17825,1,0,59,3,0,0,0,46,1,4,0
rctest,20080,56,64,64,192328,72501,188865,188993,1,0,59,3,0,0,0,65,1,4,0
remmina,151344,56,64,64,500944,238485,513509,515001,1,0,59,3,0,0,0,1496,1,6,0
