gauss1 gauss2 repulsion hydrophobic hydrogen
48.02108 434.90009 1.00229 17.16027 1.04153
45.86394 906.5491 4.5499 0 7.21115
49.45446 708.90695 4.56065 10.12192 5.42312
54.99922 768.05907 5.70052 31.01157 2.34365
53.45864 1053.90858 1.63114 0 2.94989
113.76903 1481.08181 8.93015 4.11732 9.50998
42.29731 660.09223 3.00852 8.73834 3.35823
60.0282 726.13705 5.97046 0 6.60893
54.80789 748.67528 3.38569 37.28263 0.96132
112.66393 1645.4802 3.35142 11.52286 3.57822
77.16599 974.24645 3.67899 26.59395 1.16111
72.87585 860.10664 2.22941 29.84266 0
37.33972 696.24899 3.04861 8.84575 6.05705
82.01407 778.37333 5.52147 0 6.00302
75.30026 1259.55445 2.89266 0 1.65913
119.45366 1670.24896 10.42289 26.00823 10.17536
64.22559 797.12387 3.24358 12.95601 5.48827
62.37948 820.52758 5.85573 6.61587 10.02226
53.61586 770.44483 2.06526 21.21977 1.44255
46.22658 612.32175 2.98088 16.39215 4.51728
85.25624 1056.1037 2.96944 16.05277 0.42024
53.73129 482.92587 11.38424 0 3.77169
55.90695 739.27259 1.87906 9.89819 0.68522
68.99836 836.89723 2.22412 14.32435 0.56603
68.41621 764.84101 6.01421 19.29347 6.43796
55.85288 852.50998 1.43383 13.03481 1.61883
53.12915 908.27001 3.28664 10.23216 5.22628
68.82732 883.76536 6.53001 7.67505 7.74304
54.53971 671.87513 3.59408 3.31924 3.2247
56.02362 791.18435 8.91421 32.4915 3.60433
110.06244 1589.42377 7.97642 0 10.43612
81.62619 776.44733 5.22268 0 5.88757
41.53445 554.87314 0.70777 3.75647 0.00344
112.76958 1581.82585 8.22041 22.97447 9.6548
59.59756 848.03672 10.03836 0.66943 8.15026
51.94168 608.89915 2.8458 19.66401 0
78.85762 885.37259 7.39378 0 7.84496
71.1773 885.34849 5.03553 0 6.07134
187.52365 2302.6524 10.26895 49.32854 13.48008
72.39984 1136.38546 6.67825 0.57984 11.25617
72.81509 1163.08528 7.42596 17.20794 1.84902
31.5293 281.67796 0.61819 0 0.17618
68.38678 900.49744 3.74008 0 5.4283
94.51181 1304.23819 4.26966 4.99735 6.36282
27.16908 422.74014 2.215 0 1.04654
88.11725 1237.86423 3.82091 6.40623 6.20068
46.89837 682.81224 2.84693 3.89248 2.50977
48.95248 592.56445 3.71674 8.59049 5.86329
46.31995 590.24836 1.29882 8.40405 1.37264
60.32483 446.81951 1.30617 39.42972 2.12957
44.45662 677.76776 3.40174 5.4801 0.03778
51.28903 767.14014 2.11982 28.06245 1.32519
70.6193 846.60517 5.23492 12.97172 4.39923
79.84785 1043.02596 4.88964 0 6.26033
38.79528 602.72467 1.46619 9.64977 1.07106
73.42689 888.55544 8.74007 0 7.95362
74.78639 723.91194 5.46167 5.70749 6.79536
134.95353 1851.90286 11.32077 34.93084 8.66686
43.84551 717.48388 1.38396 16.54589 0
66.17452 954.75358 1.71596 0 3.91343
85.34464 1000.48898 3.58524 23.62366 4.49267
44.18753 396.8345 0.50922 18.72678 0.5763
26.3152 647.82476 1.07446 30.09065 0
49.54326 842.24274 2.01932 32.58991 1
43.60848 734.19388 2.29872 27.20473 2.5974
124.00724 1708.38363 7.86618 0 9.08838
74.39754 1180.2245 4.52127 0.50612 6.19674
26.61772 515.40362 0.26238 15.34633 0
33.46057 526.49369 0.46106 14.78242 0.61814
65.68796 843.0099 3.37004 1.35468 4.22193
57.88196 939.2928 6.35814 0 7.46404
53.54284 504.95569 3.05784 14.12465 4.36562
20.05381 477.64991 1.22263 17.11845 2
46.38092 546.21113 2.38604 5.55067 2
37.7941 544.79278 4.66783 2.33996 5.67109
63.87692 1033.26696 5.07547 7.85209 8.56374
44.73013 353.07205 1.06198 20.43919 0.80728
44.17349 464.18358 2.32347 5.48235 3.77129
46.44983 683.72056 6.15775 9.55895 5.38321
54.53049 821.40025 2.74048 0 7.13572
35.88554 390.8503 0.70081 40.07077 0
47.37101 537.97274 1.58357 5.12008 2.42086
54.51317 963.65258 2.73014 2.82606 3.21589
52.45235 694.98649 1.61022 19.79543 1.74054
